School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
SKYVIEW ES,YUKON,YUKON,CANADIAN COUNTY,42.5,,,,,,,,158,629,,18.52
SMITHVILLE ES,SMITHVILLE,SMITHVILLE,MCCURTAIN COUNTY,9.1,,,,,,,,51,108,,17.47
SMITHVILLE HS,SMITHVILLE,SMITHVILLE,MCCURTAIN COUNTY,12.8,,,29,24,18,31,,,,102,7.97
SMITHVILLE MS,SMITHVILLE,SMITHVILLE,MCCURTAIN COUNTY,4.3,23,25,,,,,,,63,,14.65
SNYDER ES,SNYDER,SNYDER,KIOWA COUNTY,12.2,39,33,,,,,,,182,,14.92
SNYDER ES,MT. PARK,SNYDER,KIOWA COUNTY,12.1,,,,,,,,85,104,,15.62
SNYDER HS,SNYDER,SNYDER,KIOWA COUNTY,12.4,,,38,37,47,37,,,,159,12.82
SOLDIER CREEK ES,MIDWEST CITY,MIDWEST CITY,OKLAHOMA COUNTY,36.5,,,,,,,,172,471,,17.62
SOONER ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,29.8,,,,,,,2,73,474,,18.42
SOONER-ROSE ES,MIDWEST CITY,MIDWEST CITY,OKLAHOMA COUNTY,24,,,,,,,,105,285,,16.25
SOPER ES,SOPER,SOPER,CHOCTAW COUNTY,15.9,20,32,,,,,,34,223,,16.16
SOPER HS,SOPER,SOPER,CHOCTAW COUNTY,9.3,,,29,37,24,17,,,,107,11.51
SOUTH COFFEYVILLE ES,SOUTH COFFEYVILLE,S COFFEYVILLE,NOWATA COUNTY,13.3,24,23,,,,,,34,154,,14.14
SOUTH COFFEYVILLE HS,SOUTH COFFEYVILLE,S COFFEYVILLE,NOWATA COUNTY,6.7,,,17,26,30,27,,,,100,14.93
SOUTH ROCK CREEK PUBLIC SCHOOL,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,24.5,43,33,,,,,,70,324,,16.08
SOUTHEAST ES,TULSA,JENKS,TULSA COUNTY,37.7,,,,,,,,186,531,,19.02
SOUTHEAST HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,40.2,,,195,193,175,138,,,,701,17.44
SOUTHERN HILLS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,24.6,,,,,,,1,118,338,,18.58
SOUTHGATE-RIPPETOE ES,MOORE,MOORE,CLEVELAND COUNTY,44,,,,,,,,193,493,,15.59
SOUTHMOORE HS,MOORE,MOORE,CLEVELAND COUNTY,119.9,,,568,476,471,468,,,,1983,16.54
SOUTHSIDE ES,COWETA,COWETA,WAGONER COUNTY,23,,,,,,,,161,267,,18.61
SOUTHWEST ES,CHICKASHA,CHICKASHA,GRADY COUNTY,16.6,,,,,,,,,276,,16.63
SOUTHWEST ES,CLINTON,CLINTON,CUSTER COUNTY,31,,,,,,,,,507,,16.35
SPAVINAW PUBLIC SCHOOL,SPAVINAW,SPAVINAW,MAYES COUNTY,10,17,10,,,,,,25,106,,13.1
SPENCE MEMORIAL ES,WELEETKA,WELEETKA,OKFUSKEE COUNTY,16.4,,,,,,,,80,205,,17.38
SPENCER ES,SPENCER,SPENCER,OKLAHOMA COUNTY,13.8,,,,,,,,68,170,,17.25
SPERRY ES,SPERRY,SPERRY,TULSA COUNTY,33,,,,,,,,147,427,,17.39
SPERRY HS,SPERRY,SPERRY,TULSA COUNTY,21.9,,,88,92,85,88,,,,353,16.12
SPERRY MS,SPERRY,SPERRY,TULSA COUNTY,19.2,100,104,,,,,,,299,,15.57
SPIRO ES,SPIRO,SPIRO,LE FLORE COUNTY,33,,,,,,,,154,476,,19.09
SPIRO HS,SPIRO,SPIRO,LE FLORE COUNTY,28.7,,,95,91,92,74,,,,352,12.26
SPIRO MS,SPIRO,SPIRO,LE FLORE COUNTY,19.3,66,83,,,,,,,228,,11.81
SPRING CREEK ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,25.9,,,,,,,,95,314,,15.79
SPRINGDALE ES,TULSA,TULSA,TULSA COUNTY,31.8,,,,,,,,139,363,,15.79
SPRINGER ES,SPRINGER,SPRINGER,CARTER COUNTY,13.4,8,18,,,,,,40,141,,13.51
SPRINGER HS,SPRINGER,SPRINGER,CARTER COUNTY,7,,,11,17,17,12,,,,57,8.14
STAND WATIE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.9,,,,,,,,166,426,,20.48
STAR SPENCER HS,SPENCER,SPENCER,OKLAHOMA COUNTY,39.3,,,112,126,105,85,,,,428,10.89
STEED ES,MIDWEST,MIDWEST CITY,OKLAHOMA COUNTY,24.5,,,,,,,,94,309,,16.45
STERLING ES,STERLING,STERLING,COMANCHE COUNTY,19.4,34,35,,,,,,68,246,,16.19
STERLING HS,STERLING,STERLING,COMANCHE COUNTY,8.1,,,23,30,24,28,,,,105,12.96
STIDHAM PUBLIC SCHOOL,EUFAULA,EUFAULA,MCINTOSH COUNTY,7.6,36,49,,,,,,23,155,,23.42
STIGLER ES,STIGLER,STIGLER,HASKELL COUNTY,35,,,,,,,,196,524,,20.57
STIGLER HS,STIGLER,STIGLER,HASKELL COUNTY,25.5,,,100,110,88,80,,,,378,14.82
STIGLER MS,STIGLER,STIGLER,HASKELL COUNTY,19.7,83,81,,,,,1,,265,,13.5
STILLWATER HS,STILLWATER,STILLWATER,PAYNE COUNTY,63.8,,,,372,397,370,,,,1139,17.85
STILLWATER JHS,STILLWATER,STILLWATER,PAYNE COUNTY,41.9,,347,353,,,,,,347,353,16.71
STILLWATER MS,STILLWATER,STILLWATER,PAYNE COUNTY,43,363,,,,,,,,744,,17.3
STILWELL ES,STILWELL,STILWELL,ADAIR COUNTY,34.1,,,,,,,,155,308,,13.58
STILWELL HS,STILWELL,STILWELL,ADAIR COUNTY,38.9,,,173,145,141,160,,,,619,15.91
STILWELL MS,STILWELL,STILWELL,ADAIR COUNTY,21.4,75,78,,,,,,,276,,12.9
STONE CANYON ES,OWASSO,OWASSO,ROGERS COUNTY,21.6,,,,,,,,82,299,,17.64
STONE RIDGE ES,YUKON,YUKON,CANADIAN COUNTY,22,,,,,,,,66,348,,18.82
STONEGATE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,22.8,,,,,,,,131,331,,20.26
STONEWALL ES,STONEWALL,STONEWALL,PONTOTOC COUNTY,12.1,,,,,,,4,75,150,,18.93
STONEWALL HS,STONEWALL,STONEWALL,PONTOTOC COUNTY,10.7,,,24,26,23,25,,,,98,9.16
STRAIGHT PUBLIC SCHOOL,GUYMON,GUYMON,TEXAS COUNTY,6,,,,,,,,5,43,,8
STRATFORD ES,STRATFORD,STRATFORD,GARVIN COUNTY,15.5,,,,,,,,73,176,,16.06
STRATFORD HS,STRATFORD,STRATFORD,GARVIN COUNTY,11.1,,,46,44,29,33,,,,152,13.69
STRATFORD MS,STRATFORD,STRATFORD,GARVIN COUNTY,10.2,54,39,,,,,,,212,,20.78
STRINGTOWN ES,STRINGTOWN,STRINGTOWN,ATOKA COUNTY,10.1,7,11,,,,,,22,92,,11.29
STRINGTOWN HS,STRINGTOWN,STRINGTOWN,ATOKA COUNTY,4.7,,,19,19,25,17,,,,80,17.02
STROTHER ES,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,13.3,30,17,,,,,,52,233,,21.43
STROTHER HS,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,7,,,26,28,27,22,,,,103,14.71
STROUD HS,STROUD,STROUD,LINCOLN COUNTY,20.3,,,68,84,61,47,10,,,260,13.3
STROUD MS,STROUD,STROUD,LINCOLN COUNTY,12.7,69,46,,,,,,,169,,13.31
STUART ES,STUART,STUART,HUGHES COUNTY,11.8,23,12,,,,,,38,130,,14.24
STUART HS,STUART,STUART,HUGHES COUNTY,7.4,,,19,12,32,14,,,,77,10.41
SULLIVAN VILLAGE ES,LAWTON,LAWTON,COMANCHE COUNTY,22.8,,,,,,,,105,265,,16.23
SULPHUR ES,SULPHUR,SULPHUR,MURRAY COUNTY,24.5,,,,,,,,236,203,,17.92
SULPHUR HS,SULPHUR,SULPHUR,MURRAY COUNTY,24.3,,,93,101,85,69,,,,348,14.32
SULPHUR INTERMEDIATE ES,SULPHUR,SULPHUR,MURRAY COUNTY,22.4,,,,,,,,,327,,14.6
SULPHUR MS,SULPHUR,SULPHUR,MURRAY COUNTY,21.7,109,90,,,,,,,322,,14.84
SUMMIT MS,EDMOND,EDMOND,OKLAHOMA COUNTY,58,310,393,,,,,,,1032,,17.79
SUNNYSIDE ES,CUSHING,CUSHING,PAYNE COUNTY,15,,,,,,,,40,203,,16.2
SUNSET ES,EDMOND,EDMOND,OKLAHOMA COUNTY,37.1,,,,,,,,187,463,,17.52
SUNSET ES,ALTUS,ALTUS,JACKSON COUNTY,26.6,,,,,,,,105,314,,15.75
SUNSET ES,ANADARKO,ANADARKO,CADDO COUNTY,18.9,,,,,,,,144,150,,15.56
SURREY HILLS ES,YUKON,YUKON,CANADIAN COUNTY,23.6,,,,,,,,98,353,,19.11
SWEETWATER ES,SWEETWATER,SWEETWATER,BECKHAM COUNTY,8.8,6,8,,,,,,11,60,,8.07
SWEETWATER HS,SWEETWATER,SWEETWATER,BECKHAM COUNTY,5.7,,,2,3,4,6,,,,15,2.63
SWINK PUBLIC SCHOOL,SWINK,SWINK,CHOCTAW COUNTY,5.1,5,9,,,,,,24,61,,16.67
SWINNEY ES,LAWTON,LAWTON,COMANCHE COUNTY,15.7,,,,,,,,42,179,,14.08
TAFT ES,ENID,ENID,GARFIELD COUNTY,20,,,,,,,4,108,245,,17.85
TAFT MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,58.1,287,250,,,,,,,820,,14.11
TAHLEQUAH HS,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,79.1,,,338,321,326,262,14,,,1247,15.94
TAHLEQUAH MS,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,58.8,224,209,,,,,4,,876,,14.97
TALIHINA ES,TALIHINA,TALIHINA,LE FLORE COUNTY,23.8,,,,,,,,93,294,,16.26
TALIHINA HS,TALIHINA,TALIHINA,LE FLORE COUNTY,16.8,,,,46,43,49,10,,,138,8.81
TALIHINA JHS,TALIHINA,TALIHINA,LE FLORE COUNTY,10.2,48,50,45,,,,,,98,45,14.02
TALOGA ES,TALOGA,TALOGA,DEWEY COUNTY,7.3,8,6,,,,,,14,67,,11.1
TALOGA HS,TALOGA,TALOGA,DEWEY COUNTY,5.1,,,4,8,7,,5,,,19,4.71
TANNEHILL PUBLIC SCHOOL,MCALESTER,MCALESTER,PITTSBURG COUNTY,13.1,19,18,,,,,2,42,156,,15.27
TECUMSEH HS,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,41.4,,,150,167,143,152,3,,,612,14.86
TECUMSEH MS,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,30.2,163,142,,,,,2,,479,,15.93
TELSTAR ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.9,,,,,,,,88,211,,15.82
TEMPLE ES,TEMPLE,TEMPLE,COTTON COUNTY,10.3,22,18,,,,,,36,128,,15.92
TEMPLE HS,TEMPLE,TEMPLE,COTTON COUNTY,6.3,,,17,15,17,20,,,,69,10.95
TENKILLER PUBLIC SCHOOL,WELLING,WELLING,CHEROKEE COUNTY,21.2,32,30,,,,,,53,259,,14.72
TERRAL PUBLIC SCHOOL,TERRAL,TERRAL,JEFFERSON COUNTY,5.7,9,3,,,,,,23,56,,13.86
TEXHOMA ES,TEXHOMA,TEXHOMA,TEXAS COUNTY,8,22,24,,,,,,,90,,11.25
TEXHOMA HS,TEXHOMA,TEXHOMA,TEXAS COUNTY,12,,,30,40,32,,25,,,102,10.58
THACKERVILLE ES,THACKERVILLE,THACKERVILLE,LOVE COUNTY,11.8,18,22,,,,,,51,163,,18.14
THACKERVILLE HS,THACKERVILLE,THACKERVILLE,LOVE COUNTY,6.3,,,22,25,18,16,,,,81,12.86
THELMA R. PARKS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,20.3,,,,,,,,114,264,,18.62
THOMAS EDISON PREPARATORY HS,TULSA,TULSA,TULSA COUNTY,66,,,395,283,275,245,,,,1198,18.15
THOMAS ES,THOMAS,THOMAS,CUSTER COUNTY,17.5,,,,,,,,64,166,,13.14
THOMAS JEFFERSON ES,TULSA,TULSA,TULSA COUNTY,29.9,,,,,,,,136,399,,17.89
THOMAS MS,HOLDENVILLE,HOLDENVILLE,HUGHES COUNTY,23.2,71,82,,,,,,,290,,12.5
THOMAS-FAY-CUSTER UNIFIED HS,THOMAS,THOMAS,CUSTER COUNTY,13.3,,,,43,39,35,,,,117,8.8
THOMAS-FAY-CUSTER UNIFIED JHS,THOMAS,THOMAS,CUSTER COUNTY,3.6,33,43,38,,,,,,76,38,31.67
THOREAU DEMONSTRATION ACADEMY,TULSA,TULSA,TULSA COUNTY,27.3,200,168,,,,,,,578,,21.17
TIMBERLAKE ES,JET,JET,ALFALFA COUNTY,14,31,17,,,,,,31,147,,12.71
TIMBERLAKE HS,HELENA,HELENA,ALFALFA COUNTY,8.2,,,17,16,18,13,,,,64,7.8
TINKER ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.8,,,,,,,,154,349,,17.47
TIPTON ES,TIPTON,TIPTON,TILLMAN COUNTY,12.8,20,25,,,,,,37,162,,15.55
TIPTON HS,TIPTON,TIPTON,TILLMAN COUNTY,8.4,,,19,28,12,13,,,,72,8.57
TISHOMINGO ES,TISHOMINGO,TISHOMINGO,JOHNSTON COUNTY,24.6,,,,,,,,124,305,,17.44
TISHOMINGO HS,TISHOMINGO,TISHOMINGO,JOHNSTON COUNTY,22.7,,,84,70,69,56,,,,279,12.29
TISHOMINGO MS,TISHOMINGO,TISHOMINGO,JOHNSTON COUNTY,14.7,61,68,,,,,,,202,,13.74
TOMLINSON MS,LAWTON,LAWTON,COMANCHE COUNTY,61.4,300,236,,,,,,,810,,13.19
TOMMIE SPEAR MS,SALLISAW,SALLISAW,SEQUOYAH COUNTY,32.7,149,134,,,,,,,415,,12.69
TONKAWA ES,TONKAWA,TONKAWA,KAY COUNTY,22.4,,,,,,,,108,267,,16.74
TONKAWA HS,TONKAWA,TONKAWA,KAY COUNTY,13.8,,,51,63,65,48,,,,227,16.45
TONKAWA MS,TONKAWA,TONKAWA,KAY COUNTY,10.6,58,44,,,,,,,159,,15
TONY GOETZ ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,23,,,,,,,,57,359,,18.09
TOWNSEND ES,DEL CITY,DEL CITY,OKLAHOMA COUNTY,29.9,,,,,,,,170,373,,18.16
TRAICE,TULSA,TULSA,TULSA COUNTY,9,,,14,3,2,,1,,,19,2.22
TRAUB ES,MIDWEST CITY,MIDWEST CITY,OKLAHOMA COUNTY,21.8,,,,,,,,107,267,,17.16
TRUMAN ES,NORMAN,NORMAN,CLEVELAND COUNTY,22.2,,,,,,,,,394,,17.75
TRUMAN PRIMARY SCHOOL,NORMAN,NORMAN,CLEVELAND COUNTY,29.2,0,1,,,,,,248,263,,17.5
TULAKES ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,31.2,,,,,,,,111,418,,16.96
TULSA ECDC BUNCH,TULSA,TULSA,TULSA COUNTY,15.6,,,,,,,,997,,,63.91
TULSA MET./FRANKLIN,TULSA,TULSA,TULSA COUNTY,24.7,64,93,,,,,60,,196,,10.36
TULSA MET./LOMBARD,TULSA,TULSA,OSAGE COUNTY,51.5,,,242,140,121,101,52,,,604,12.74
TULSA SCHL OF ARTS & SCIENCES,TULSA,TULSA,TULSA COUNTY,18.6,,,80,84,56,57,,,,277,14.89
TUPELO ES,TUPELO,TUPELO,COAL COUNTY,11.7,18,24,,,,,,42,153,,16.67
TUPELO HS,TUPELO,TUPELO,COAL COUNTY,5.6,,,8,20,24,26,,,,78,13.93
TURKEY FORD PUBLIC SCHOOL,WYANDOTTE,WYANDOTTE,OTTAWA COUNTY,8.7,,,,,,,,40,67,,12.3
TURNER ES,BURNEYVILLE,BURNEYVILLE,LOVE COUNTY,14.3,22,21,,,,,,51,169,,15.38
TURNER HS,BURNEYVILLE,BURNEYVILLE,LOVE COUNTY,6.3,,,32,23,25,19,,,,99,15.71
TURPIN ES,TURPIN,TURPIN,BEAVER COUNTY,21.1,30,22,,,,,,52,228,,13.27
TURPIN HS,TURPIN,TURPIN,BEAVER COUNTY,12.9,,,28,37,25,23,,,,113,8.76
TUSHKA ES,TUSHKA,ATOKA,ATOKA COUNTY,18.5,24,37,,,,,,51,239,,15.68
TUSHKA HS,TUSHKA,ATOKA,ATOKA COUNTY,11.5,,,54,47,43,42,,,,186,16.17
TUSKAHOMA PUBLIC SCHOOL,TUSKAHOMAS,TUSKAHOMA,PUSHMATAHA COUNTY,6.1,9,7,,,,,,35,62,,15.9
TUTTLE ES,TUTTLE,TUTTLE,GRADY COUNTY,35.5,,,,,,,,220,396,,17.35
TUTTLE HS,TUTTLE,TUTTLE,GRADY COUNTY,35.9,,,127,143,106,103,,,,479,13.34
TUTTLE INTERMEDIATE ES,TUTTLE,TUTTLE,GRADY COUNTY,11.8,,,,,,,,,246,,20.85
TUTTLE MS,TUTTLE,TUTTLE,GRADY COUNTY,19.5,144,124,,,,,,,394,,20.21
TWIN HILLS PUBLIC SCHOOL,OKMULGEE,OKMULGEE,OKMULGEE COUNTY,21,36,31,,,,,,84,271,,16.9
TYRONE ES,TYRONE,TYRONE,TEXAS COUNTY,11.1,18,18,,,,,,41,148,,17.03
TYRONE HS,TYRONE,TYRONE,TEXAS COUNTY,5.8,,,20,16,16,17,,,,69,11.9
U. S. GRANT HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,100.1,,,429,417,381,336,,,,1563,15.61
UNION 6TH-7TH GRADE CTR,TULSA,TULSA,TULSA COUNTY,119.6,1120,,,,,,,,2240,,18.73
UNION 8TH GRADE CTR,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,59.6,,1102,,,,,,,1102,,18.49
UNION CITY ES,UNION CITY,UNION CITY,CANADIAN COUNTY,10.4,22,21,,,,,6,50,164,,21.15
UNION CITY HS,UNION CITY,UNION CITY,CANADIAN COUNTY,7.6,,,22,20,20,23,,,,85,11.18
UNION ES,PONCA CITY,PONCA CITY,KAY COUNTY,21.6,,,,,,,,104,233,,15.6
UNION HS,TULSA,TULSA,TULSA COUNTY,97.9,,,,,1110,1032,,,,2142,21.88
UNION INTERMEDIATE HS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,116.8,,,1062,1154,,,,,,2216,18.97
VALLIANT ES,VALLIANT,VALLIANT,MCCURTAIN COUNTY,28.9,,,,,,,,100,303,,13.94
VALLIANT HS,VALLIANT,VALLIANT,MCCURTAIN COUNTY,22.7,,,94,79,81,78,,,,332,14.63
VALLIANT MS,VALLIANT,VALLIANT,MCCURTAIN COUNTY,16.3,84,77,,,,,,,242,,14.85
VAN BUREN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,24.5,,,,,,,,132,302,,17.71
VANDEVER ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,27,,,,,,,,126,336,,17.11
VANOSS ES,ADA,ADA,PONTOTOC COUNTY,22.8,40,35,,,,,,83,270,,15.48
VANOSS HS,ADA,ADA,PONTOTOC COUNTY,11,,,33,49,43,46,,,,171,15.55
VARNUM ES,SEMIONOLE,SEMINOLE,SEMINOLE COUNTY,12.1,20,15,,,,,1,37,159,,16.28
VARNUM HS,SEMIONOLE,SEMINOLE,SEMINOLE COUNTY,6.8,,,22,22,16,14,,,,74,10.88
VELMA-ALMA ES,VELMA,VELMA,STEPHENS COUNTY,15.1,,,,,,,,55,186,,15.96
VELMA-ALMA HS,VELMA,VELMA,STEPHENS COUNTY,11,,,23,29,23,40,,,,115,10.45
VELMA-ALMA MS,VELMA,VELMA,STEPHENS COUNTY,4.9,37,23,,,,,,,95,,19.39
VERDEN ES,VERDEN,VERDEN,GRADY COUNTY,12.2,24,23,,,,,,39,155,,15.9
VERDEN HS,VERDEN,VERDEN,GRADY COUNTY,6.5,,,30,22,15,22,,,,89,13.69
VERDIGRIS ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,38.6,,,,,,,,148,471,,16.04
VERDIGRIS HS,CLAREMORE,CLAREMORE,ROGERS COUNTY,20.2,,,94,82,90,86,,,,352,17.43
VERDIGRIS MS,CLAREMORE,CLAREMORE,ROGERS COUNTY,17.9,97,109,,,,,,,289,,16.15
VIAN ES,VIAN,VIAN,SEQUOYAH COUNTY,31.4,,,,,,,,151,374,,16.72
VIAN HS,VIAN,VIAN,SEQUOYAH COUNTY,19.8,,,61,81,59,64,,,,265,13.38
VIAN MS,VIAN,VIAN,SEQUOYAH COUNTY,16.9,84,86,,,,,,,235,,13.91
VICI ES,VICI,VICI,DEWEY COUNTY,13.8,23,26,,,,,,41,181,,16.09
VICI HS,VICI,VICI,DEWEY COUNTY,10.1,,,18,23,11,28,,,,80,7.92
VINITA HS,VINITA,VINITA,CRAIG COUNTY,33.1,,,155,140,141,123,18,,,559,17.43
VIRGIL COOPER MS,DRUMRIGHT,DRUMRIGHT,CREEK COUNTY,13,38,49,,,,,,,189,,14.54
VIRGINIA SMITH ES,HARRAH,HARRAH,OKLAHOMA COUNTY,22.1,,,,,,,,240,166,,18.37
WAGONER HS,WAGONER,WAGONER,WAGONER COUNTY,41.3,,,188,180,154,141,4,,,663,16.15
WAGONER MS,WAGONER,WAGONER,WAGONER COUNTY,43.7,188,170,,,,,1,,535,,12.27
WAINWRIGHT PUBLIC SCHOOL,WAINWRIGHT,WAINWRIGHT,MUSKOGEE COUNTY,8.4,14,6,,,,,,26,112,,16.43
WAKITA ES,WAKITA,WAKITA,GRANT COUNTY,6.9,3,4,,,,,,7,37,,6.38
WAKITA HS,WAKITA,WAKITA,GRANT COUNTY,5.5,,,5,4,6,14,,,,29,5.27
WALLACE BYRD MS,COALGATE,COALGATE,COAL COUNTY,9.6,56,46,,,,,1,,102,,10.73
WALTERS ES,WALTERS,WALTERS,COTTON COUNTY,25,,,,,,,,99,256,,14.2
WALTERS HS,WALTERS,WALTERS,COTTON COUNTY,13.6,,,43,46,33,51,,,,173,12.72
WALTERS MS,WALTERS,WALTERS,COTTON COUNTY,12.1,57,64,,,,,,,170,,14.05
WANETTE ES,WANETTE,WANETTE,POTTAWATOMIE COUNTY,11.4,16,14,,,,,4,32,128,,14.39
WANETTE HS,WANETTE,WANETTE,POTTAWATOMIE COUNTY,6,,,17,14,20,21,1,,,72,12.17
WAPANUCKA ES,WAPANUCKA,WAPANUCKA,JOHNSTON COUNTY,11.4,13,16,,,,,,56,117,,15.18
WAPANUCKA HS,WAPANUCKA,WAPANUCKA,JOHNSTON COUNTY,6,,,17,19,21,22,,,,79,13.17
WARD ES,SHIDLER,SHIDLER,OSAGE COUNTY,7.7,,,,,,,,47,80,,16.49
WARD ES EAST,COLBERT,COLBERT,BRYAN COUNTY,12.1,,,,,,,,,184,,15.21
WARD ES WEST,COLBERT,COLBERT,BRYAN COUNTY,20.8,,,,,,,,215,181,,19.04
WARNER ES,WARNER,WARNER,MUSKOGEE COUNTY,30.4,70,36,,,,,,110,409,,17.07
WARNER HS,WARNER,WARNER,MUSKOGEE COUNTY,13.4,,,61,36,38,54,,,,189,14.1
WASHINGTON EC CTR,MCALESTER,MCALESTER,PITTSBURG COUNTY,6.6,,,,,,,,130,,,19.7
WASHINGTON ES,MIAMI,MIAMI,OTTAWA COUNTY,13.8,,,,,,,,38,202,,17.39
WASHINGTON ES,LAWTON,LAWTON,COMANCHE COUNTY,11.5,,,,,,,,28,150,,15.48
WASHINGTON ES,NORMAN,NORMAN,CLEVELAND COUNTY,36.5,,,,,,,,127,539,,18.25
WASHINGTON ES,WASHINGTON,WASHINGTON,MCCLAIN COUNTY,25.7,,,,,,,,129,344,,18.4
WASHINGTON ES,CLINTON,CLINTON,CUSTER COUNTY,20.8,,,,,,,,,301,,14.47
WASHINGTON ES,ALVA,ALVA,WOODS COUNTY,12.8,,,,,,,,155,65,,17.19
WASHINGTON ES,ALTUS,ALTUS,JACKSON COUNTY,23.2,,,,,,,,138,210,,15
WASHINGTON ES,ADA,ADA,PONTOTOC COUNTY,26,,,,,,,1,,393,,15.15
WASHINGTON ES,PRYOR,PRYOR,MAYES COUNTY,9.6,,,,,,,,19,125,,15
WASHINGTON ES,SAPULPA,SAPULPA,CREEK COUNTY,20.4,,,,,,,,97,230,,16.03
WASHINGTON HS,WASHINGTON,WASHINGTON,MCCLAIN COUNTY,15.3,,,75,69,51,69,,,,264,17.25
WASHINGTON IRVING ES,EDMOND,EDMOND,OKLAHOMA COUNTY,41.1,,,,,,,,219,635,,20.78
WASHINGTON IRVING ES,DURANT,DURANT,BRYAN COUNTY,28.9,,,,,,,,266,328,,20.55
WASHINGTON MS,WASHINGTON,WASHINGTON,MCCLAIN COUNTY,11,76,60,,,,,,,194,,17.64
WATONGA ES,WATONGA,WATONGA,BLAINE COUNTY,22.9,,,,,,,,133,281,,18.08
WATONGA HS,WATONGA,WATONGA,BLAINE COUNTY,13.6,,,44,55,51,37,,,,187,13.75
WATONGA MS,WATONGA,WATONGA,BLAINE COUNTY,10.1,39,51,,,,,,,154,,15.25
WATTS ES,WATTS,WATTS,ADAIR COUNTY,15.5,22,35,,,,,,56,206,,16.9
WATTS HS,WATTS,WATTS,ADAIR COUNTY,9.5,,,33,34,37,34,,,,138,14.53
WAUKOMIS ES,WAUKOMIS,WAUKOMIS,GARFIELD COUNTY,13.9,27,22,,,,,,56,198,,18.27
WAUKOMIS HS,WAUKOMIS,WAUKOMIS,GARFIELD COUNTY,7.9,,,23,25,16,23,,,,87,11.01
WAURIKA ES,WAURIKA,WAURIKA,JEFFERSON COUNTY,17.1,,,,,,,,70,147,,12.69
WAURIKA HS,WAURIKA,WAURIKA,JEFFERSON COUNTY,9.3,,,23,36,28,23,,,,110,11.83
WAURIKA MS,WAURIKA,WAURIKA,JEFFERSON COUNTY,9.7,30,23,,,,,,,91,,9.38
WAYLAND BONDS ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,30,,,,,,,,100,460,,18.67
WAYNE ES,WAYNE,WAYNE,MCCLAIN COUNTY,12.6,,,,,,,,66,166,,18.41
WAYNE HS,WAYNE,WAYNE,MCCLAIN COUNTY,11.1,,,46,39,41,39,10,,,165,15.77
WAYNE MS,WAYNE,WAYNE,MCCLAIN COUNTY,6.6,42,31,,,,,,,110,,16.67
WAYNOKA ES,WAYNOKA,WAYNOKA,WOODS COUNTY,11.3,19,11,,,,,3,37,127,,14.78
WAYNOKA HS,WAYNOKA,WAYNOKA,WOODS COUNTY,9.3,,,13,13,15,13,,,,54,5.81
WAYSIDE ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,28.1,,,,,,,,103,348,,16.05
WEATHERFORD EAST ES,WEATHERFORD,WEATHERFORD,CUSTER COUNTY,20.5,,,,,,,,,306,,14.93
WEATHERFORD HS,WEATHERFORD,WEATHERFORD,CUSTER COUNTY,34.1,,,140,141,114,120,,,,515,15.1
WEATHERFORD MS,WEATHERFORD,WEATHERFORD,CUSTER COUNTY,24.6,110,110,,,,,,,355,,14.43
WEATHERFORD WEST ES,WEATHERFORD,WEATHERFORD,CUSTER COUNTY,17.6,,,,,,,,,258,,14.66
WEBBERS FALLS ES,WEBBERS FALLS,WEBBERS FALLS,MUSKOGEE COUNTY,10.9,17,17,,,,,8,41,146,,17.89
